id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Kategory
2080,"According to clause 8.1.29 of GOST R 52289-2019, railings are used on sidewalks for at least 50 meters in each direction from all regulated ground pedestrian crossings. In the area of ​​the shopping center `Perekryostok` (Dzerzhinsky Street, 99-A), an adjustable pedestrian crossing is equipped, while there are no pedestrian railings. As part of the repair work under the national project `Safe and High-Quality Roads`, I ask you to install these fences (to extend the existing ones from secondary school No. parts of traffic and parking on the sidewalk.","Согласно п.8.1.29 ГОСТ Р 52289-2019 на тротуарах на протяжении не менее 50 метров в каждую сторону от всех регулируемых наземных пешеходных переходов применяют перильные ограждения. В районе ТЦ `Перекрёсток` (улица Дзержинского, 99-А) оборудован регулируемый пешеходный переход, при этом пешеходные перильные ограждения отсутствуют.

Прошу в рамках ремонтных работ по нацпроекту `Безопасные и качественные автомобильные дороги` установить данные ограждения (продлить имеющиеся от СОШ №7 до пешеходного перехода) с целью исключения нарушения Правил дорожного движения как пешеходами в части пересечения проезжей части вне пешеходного перехода, так и водителями в части движения и стоянки на тротуаре.",Парковки на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Another
2230,Garbage dump,Свалка мусора,Несанкционированные свалки твёрдых бытовых отходов,Администрация города Курска,16,Another
689,"The repair of the road surface on Vokzalnaya St. is just underway, so let the road workers immediately make a drive-in pocket for the bus stop “Privokzalnaya St.” and let them install a road sign. Easy buses stop right on the road due to the lack of a check-in car, thereby endangering the life and health of passengers.","<p>Как раз идет ремонт дорожного покрытия на ул.Вокзальная, так вот, пускай дорожники сразу сделают заездной карман для автобусной остановке “Ул.Привокзальная” и пускай установят дорожный знак. Автобусы изи за отсутствия заездного карамана останавливаются прям на дороге, тем самый подвергают опасности жизни и здоровью пассажиров.</p>",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Льгов,8,Another
987,"On September 14, 2021, I passed the test for COVID - 19. On September 16, 2021, they called and said that the test was positive and it was necessary to be in self-isolation. But there is no official information anywhere. The husband in the service require an official document. On September 20, 2021, the command of the military unit calls him to the service. The problem is described in more detail in the appeal to the State Services.","<p>14.09.2021г сдала тест на COVID - 19. 16.09.2021г позвонили и сообщили, что тест положительный и необходимо находиться на самоизоляции. Но нигде нет официальной информации. У мужа на службе требуют официальный документ. 20.09.2021г командование в/ч вызывает его на службу. Подробнее проблема описана в обращении на ГосУслугах</p>","ПЦР-тест, тест на антитела",Комитет здравоохранения Курской области,4,Another
1724,"To the administration of the Central District of the city of Kursk: I ask you to carry out a temporary repair of the road surface on the street. Khutorskaya (entrance to the houses: 12b, 12g, 12v, 16a, 16b, 16c from the shopping center MegaGrinn) with a milled asphalt-concrete mixture, due to its unsatisfactory condition.","<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>В&nbsp;администрацию Центрального округа города Курска: Прошу провести временный ремонт дорожного покрытия по&nbsp;ул. Хуторской (подъезд к&nbsp;домам : 12б, 12г, 12в, 16а, 16б, 16в со&nbsp;стороны ТЦ МегаГринн) фрезерованной асфальто-бетонной смесью, ввиду неудовлетворительного ее состояния.</span></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация Центрального округа города Курска,0,Another
1298,"On May 28, 2021, on the State Services portal, I submitted an application for a monthly payment from 3 to 7 years (inclusive) in a new amount and recalculation of the amount of payment from 3 to 7 years, previously assigned to the child of Uspensky Ivan Denisovich. In the application, I provided all the information in full and reliably, provided for in the established form. I received a response to my application, which indicated that: a positive decision was made on the application, the payment was assigned in the amount of 50% of the child's subsistence minimum From 05/28/2021 to 05/27/2021. At the same time, I am not allowed to recalculate the payment from January 1, 2021, since the previously received benefit amount is also equal to 50% of the subsistence minimum. Further, on 10/20/2021, using the State Services portal, I submitted a new application for a monthly payment from 3 to 7 years in a new amount and recalculation of the amount of payment from 3 to 7 years, The Decree of the President establishes the right of citizens to apply for a new amount of benefits at any time after April 1, 2021, and DOES NOT STATE that it can be submitted only once. aged 3 to 7 years inclusive, approved by Decree of the Government of the Russian Federation of March 31, 2020 No 384 (as amended by Decree of the Government of the Russian Federation of March 31, 2021 No 489), in 2021 to citizens who are assigned a monthly payment, the amount of the monthly cash payment is recalculated. In this case, the monthly cash payment is established in the amount provided for in paragraph three or four of paragraph 2 of these basic requirements, in the following order: Citizens apply for recalculation of the monthly payment starting from April 1, 2021, but no later than December 31, 2021, by submitting an application, the form of which is provided for in clause 10 of these basic requirements; the recalculation of the amount of the monthly payment is made from January 1, 2021, but not earlier than from the day the child reaches the age of 3 years. At the same time, the monthly payment in the appropriate amount is established for 12 months from the date of application for such payment, but no more than until the day the child reaches the age of 8 years. setting a new amount of payment, at any time until December 31, 2021. The above regulations do not establish a prohibition to apply for a new amount of payment, as well as paragraph 2 * 1 of the Basic Requirements REQUEST: 1. Reconsider the decision on my application for the appointment of a monthly payment from 3 to 7 in accordance with the legislation of the Russian Federation2. Recalculate the payment from 3 to 7 years, assigned to the child Uspensky Ivan Denisovich in the manner prescribed by law. 3. Notify me of the decision made within the time period established by law. In case of refusal to recalculate, I will be forced to apply to the Prosecutor's Office ...., and later to the court to protect my rights and legitimate interests.","<p>Мной 28.05.2021 на портале Госуслуг было подано заявление на ежемесячную выплату с 3х до 7 лет (включительно) в новом размере и перерасчёт размера выплаты с 3х до 7 лет, ранее назначенной на ребёнка Успенского Ивана Денисовича.<br>В заявлении мной были указаны все сведения полно и достоверно, предусмотренные установленной формой.<br>Мне пришёл ответ на мое заявление, в котором было указано, что:<br>по заявлению принято положительное решение, выплата назначена в размере 50% прожиточного минимума ребёнка С &nbsp;28.05.2021 по 27.05.2021. При этом перерасчёт выплаты с 1 января 2021 мне не положен, так как ранее получаемый размер пособия так же равен 50% прожиточного минимума.</p><p>Далее 20.10.2021 с&nbsp;<br>помощью портала Госуслуг мной было подано новое заявление на ежемесячную выплату с 3 до 7 лет в новом размере и перерасчёт размера выплаты с 3 до 7 лет, ранее назначенной на ребёнка Успенского Ивана Денисовича, так как изменились (состав семьи, доход семьи)</p><p>Но 23.10.2021 мне пришёл отказ по моему заявлению, в котором было указано, что:<br>по заявлению принято отрицательное решение, так как выплата в размере 50% прожиточного минимума назначена ранее на ребёнка Успенского Ивана Денисовича на 12 месяцев и не подлежит перерасчёту.</p><p>Необходимо принять во внимание тот факт, что среднедушевой доход моей семьи на дату подачи повторного зачвления в расчетный период позволяет назначить пособие в размере 100% прожиточного минимума ребёнка.<br>Согласно пункту Г Указа Президента Российской Федерации от 10 марта 2021 г. N 140 `О некоторых вопросах, связанных с осуществлением ежемесячной денежной выплаты, предусмотренной Указом Президента Российской Федерации от 20 марта 2020 г. N 199 `О дополнительных мерах государственной поддержки семей, имеющих детей`, в случае если размер среднедушевого дохода семьи, рассчитанный с учетом ежемесячной выплаты в размере 75 процентов величины прожиточного минимума для детей, не превышает величину прожиточного минимума на душу населения, ежемесячная выплата назначается в размере 100 процентов величины прожиточного минимума для детей.</p><p>А также, согласно части 2 Указа Президента, ежемесячная денежная выплата на ребенка в возрасте от трех до семи лет включительно в размере, предусмотренном подпунктом `в` или `г` Указа, осуществляется с 1 января 2021 года (!!!!)</p><p>Перерасчет размера ежемесячной выплаты гражданам, которым она назначена, производится на основании соответствующего заявления, поданного ими после 1 апреля 2021 г.</p><p>А значит, Указ Президента устанавливает право граждан подать заявление на новый размер пособия в любое время после 1 апреля 2021 года, и НЕ УСТАНАВЛИВАЕТ, что подать его можно только один раз.</p><p>Согласно пункту 2*1 Основных требований &nbsp;к порядку назначения и осуществления ежемесячной денежной выплаты на ребенка в возрасте от 3 до 7 лет включительно, утверждённых Постановлением Правительства Российской Федерации от 31 марта 2020 г. No 384 (с изменениями, утверждёнными постановлением Правительства Российской Федерации от 31 марта 2021 г. No 489), в 2021 году гражданам, которым назначена ежемесячная выплата, производится перерасчет размера ежемесячной денежной выплаты. При этом ежемесячная денежная выплата устанавливается в размере, предусмотренном абзацем третьим или четвертым пункта 2 настоящих основных требований, в следующем порядке:</p><p>обращение граждан за перерасчетом ежемесячной выплаты осуществляется начиная с 1 апреля 2021 г., но не позднее 31 декабря 2021 г., посредством подачи заявления, форма которого предусмотрена пунктом 10 настоящих основных требований;</p><p>перерасчет размера ежемесячной выплаты производится с 1 января 2021 г., но не ранее чем со дня достижения ребенком возраста 3 лет. При этом ежемесячная выплата в соответствующем размере устанавливается на 12 месяцев с даты обращения за такой выплатой, но не более чем до дня достижения ребенком возраста 8 лет.<br>Так же, как и Указ Президента, Основные требования, утверждённые Постановлением Правительства устанавливают право подать на перерасчёт и установление нового размера выплаты, в любое время до 31 декабря 2021 года.</p><p>Вышеуказанными нормативными актами не установлен запрет подать на назначение нового размера выплаты, даже если выплата ранее назначена в размере 50%.</p><p>Указанные Основные требования указывают лишь на то, что выплата должна быть назначена в новом размере на 12 месяцев, и должен быть произведён перерасчёт выплаты с 1 января 2021 года.</p><p>Учитывая вышеизложенное, можно сделать вывод о том, что если бы мной не было подано заявление первично 28.05.2021, а было изначально подано в 20.10.2021, то выплата была бы назначена в размере 100% прожиточного минимума ребёнка и был бы произведён перерасчёт!!!</p><p>А значит, отказ в назначении выплаты в новом размере и перерасчете с 1 января 2021 года в размере 100% прожиточного минимума ребёнка в регионе на 2021 год в данном случае является нарушением моих прав, и не позволяет мне получить меру социальной поддержки, положенную в соответсвии с законодательством.</p><p>В соотвествии с частью 1 статьи 2 ФЗ 59 от 02.05.2006, а также пункта 2*1 Основных требований</p><p>ПРОШУ:</p><p>1. Пересмотреть решение по моему заявлению о назначении ежемесячной выплаты с 3х до 7ми в соответствии с законодательством РФ<br>2. Произвести перерасчёт выплаты с 3 до 7 лет, назначенной на ребёнка Успенского Ивана Денисовича в установленном законом порядке.&nbsp;<br>3. О принятом решении сообщить мне в установленный законом срок</p><p>В случае отказа произвести перерасчёт, я буду вынуждена обратиться в Прокуратуру ...., а в дальнейшем в суд за защитой своих прав и законных интересов.</p>",Нарушения в вопросах назначения и выплат пособий и компенсаций,"Комитет социального обеспечения, материнства и детства Курской области",10,Another
1377,"Good afternoon, today we visited the Boeva ​​Dacha park, adults with children ride there from a hill on a frozen river (descent opposite the food court, where the beach is in summer). One child fell through the ice (the place is indicated by the red arrow in the photo). I ask you to do everything to protect people from such a terrible situation in the future (put fences or signs or another option).","<p>Добрый день, сегодня посетили парк Боева дача, взрослые с детьми катаются там с горки по замерзшей реке (спуск напротив фудкорта, где летом пляж). Один ребенок провалился под лед (место указано красной стрелкой на фото). Прошу сделать все, чтобы оградить людей от такой страшной ситуации в дальнейшем (поставить ограждения или указатели или другой вариант).</p>",Неудовлетворительное содержание парков и скверов,МКУ «Управление по делам ГО и ЧС при Администрации города Курска»,3,Another
1792,Please help in repairing or replacing the asphalt in front of the house,<p>Прошу оказать помощь в ремонте или замене асфальта перед домом</p>,Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет городского хозяйства города Курска,0,Another
712,Good afternoon. I am a federal beneficiary for type 1 diabetes mellitus (disabled person 3 gr.). At the moment I am 6 months pregnant and I have been prescribed insulin Levemir. Which I can't get at the pharmacy. This drug is not available and when it will be unknown. I ask you to consider the issue and provide me with a life-saving drug.,<p>Добрый день. Я являюсь федеральным льготником по заболеванию сахарный диабет 1 типа (инвалид 3 гр.). На данный момент нахожусь на 6 месяце беременности и мне выписан инсулин Левемир. Который я не могу &nbsp;получить в аптеке. &nbsp; Этого препарата нет и когда будет не известно. &nbsp;Прошу рассмотреть вопрос и обеспечить &nbsp;меня жизненнонеобходимым препаратом.&nbsp;</p>,Нарушения связанные с обеспечением лекарственными средствами,Комитет здравоохранения Курской области,4,Another
320,"I ask you to carry out a major overhaul of the tramway from the bakery to the railway station, the tram tracks are in an unsatisfactory condition, in some places the sleepers are rotten, there are no nails. As you let trams run along such dead tracks, you are not afraid that the tram may derail. From stop. Dubrovinsky to the stop.pl. Perekalsky is going up (descent), God forbid the tram derails, it will be a disaster, do you understand that? I ask you to repair this section of the road first.","<p>Прошу Вас провести кап.ремонт трамвайного полотна от хлебозавода до жд вокзала, трамвайные путя находятся в не удовлетворительно состоянии, в некоторых местах прогнили шпалы, гвоздей нет. Как по таким убитым путям вы пускаете трамваи, вы не боитесь что трамвай может сойти с рельс. От ост. Дубровинского до до ост.пл. Перекальского идёт подъем(спуск), не дай Бог трамвай сойдёт с рельс, это же будет катастрофа, вы это понимаете? Прошу Вас в первую очередь отремонтировать этот участок дороги.&nbsp;</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Администрация города Курска,8,Another
1187,Refused to register for the Kovivac vaccine,<p>Отказали в записи на вакцину Ковивак</p>,Проблемы с записью на вакцинацию,Комитет здравоохранения Курской области,4,Another
2761,"Good afternoon! The problem has existed for over 4 years. We are constantly addressing this issue to the transport committee, the traffic police, the administration of the t / s (minibuses). The question still remains the same. Bottom line: it is impossible to leave towards the center from the Kirovsky Bridge stop due to the fact that buses, minibuses travel along the 4th leftmost lane, picking up speed, and when you raise your hand and even have seats, they pass by. It is inconvenient for them to stop for boarding passengers. Fewer questions for drivers of routes to Deriglazov, skha. The rest ignore, despite the passengers at the bus stop with children, bad weather conditions, and so on. Please solve the problem.","Добрый день! Проблема существует более 4 лет. Постоянно обращаемся по данному вопросу в комитет транспорта, ГИБДД, администрацию т/с (маршруток). Вопрос до сих пор остаётся прежним.  Суть: невозможно уехать в сторону центра с остановки Кировский мост ввиду того, что автобусы, маршрутки едут по 4й крайней левой полосе, набирая скорость, и при поднятии руки и наличии даже сидячих мест, проезжают мимо. Им неудобно остановиться для посадки пассажиров. Меньше вопросов к водителям маршрутов до Дериглазова, сха. Остальные игрнорируют, несмотря на пассажиров на остановке с детьми, плохими погодными условиями и тд. Прошу решить проблему.",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Департамент пассажирского транспорта города Курска,8,Another
2363,"We ask for help, how much you can patch up this road, a pit on a pit. Trassk kursk lgov site in large thefts. Please allocate funding for the road to be overhauled. The roadbed has not been changed for more than 10 years. Is it normal? Please help)","Просим помощи, сколько можно латать эту дорогу, яма на яме. Трасска курск льгов участок в больших угонах. Пожалуйста выделите финансирование дорогу надо ремонтировать капитально. Дорожное полотно не меняли уже больше 10 лет. Разве это нормально? Просим помощи)",Нарушение дорожного покрытия (ямы) на дорогах регионального и межмуниципального значения,Комитет транспорта и автомобильных дорог Курской области,0,Another
2599,"On August 03, 2021, stray dogs with aggressive behavior were identified near the intersection of Studencheskaya, Zopolnaya and 50 Let Oktyabrya streets. I ask you to make a withdrawal.","В районе перекрёстка улиц Студенческой, Запольной и 50 лет Октября 03 августа 2021 года были выявлены безнадзорные собаки с агрессивным поведением. Прошу произвести отлов.",Безнадзорные животные,Комитет городского хозяйства города Курска,1,Another
665,"When will the name of the stop and the bus schedule appear at the stop Novaya Sloboda? I would like that there would be a bus schedule and the name of the stop, as well as the urn.",<p>Когда на остановке Улица Новая Слобода появится название остановки и расписание автобуса? Хотелось бы что бы появилось расписание автобусов и название остановки а также урна.&nbsp;</p>,Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Льгов,8,Another
1520,"Magistralny proezd, 21 near the garbage site on the lighting pole there is no new lamp.","<p>Магистральный проезд, 21 около мусорной площадки на столбе освещения отсутствует новый светильник.</p>",Освещение дорог  в микрорайонах ИЖС,Комитет жилищно-коммунального хозяйства города Курска,0,Another
657,"A terrible junction of roads, some cars cling to the bottom every day. At this exit, you can’t see the traffic light, which is located to the right of the fence, and in front of the traffic light is very far away.","<p>Ужасный стык дорог,некоторые машины цепляются днищем ежедневно. &nbsp;На данном выезде не видно светофора, которые расположен справа у забора, а спереди светофор оченьдалеко.</p>",Светофоры на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Another
797,Certificate not received,<p>Не пришёл сертификат&nbsp;</p>,Сертификат вакцинированного,Комитет здравоохранения Курской области,4,Another
1266,"I ask you to take measures to clean up the unauthorized dump, which has recently been formed at the beginning of the village of Kashara, Konyshevsky District. The local administration is inactive. Thanks in advance.","<p>Прошу принять меры по уборке несанкционированной свалки, которая образовалась в начале д. Кашара Конышевского района за последнее время. &nbsp;Местная администрация бездействует. Заранее признателен.</p>",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Администрация Конышевского района,3,Another
586,"On May 5, I made the second vaccination against covid-19, there is still no electronic certificate for public services","<p><strong>&nbsp;5 мая сделал вторую прививку от covid-19, электронного сертификата на госуслугах нет до сих пор</strong></p>",Вакцинация от COVID-19,Комитет здравоохранения Курской области,4,Another
2616,"I ask you to install a camera for photo and video recording within the boundaries of the village of Verkhnee Zhdanovo, Zheleznogorsk district. To comply with the speed limit","Прошу установить камеру фото-видео фиксации в границах д. Верхнее Жданово, Железногорский района. Для соблюдения скоростного режима",Дорожные знаки на дорогах регионального и межмуниципального значения,Комитет транспорта и автомобильных дорог Курской области,0,Another
1120,"I ask you to install a route board from tram car 5378 on tram car 7118. I would like the route board to be placed on the front and rear windows. Why do you install already dirty and ugly route boards, when there are beautiful and more modern ones, you will only need to mount them and that's all. Please send a photo report about solving the problem.","<p>Прошу Вас установить на трамвайный вагон 7118 маршрутное табло с трамвайного вагона 5378. Маршрутное табло хотелось что бы разместилось на переднем и заднем стеклах. &nbsp;Зачем вы ставите уже грязные и некрасивые маршрутные доски , когда есть красивые и более современные, вам надо будет только их смонтировать и все.</p><p>О решении проблемы прошу прислать фотоотчет.</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Департамент пассажирского транспорта города Курска,8,Another
120,"On January 10, 2021, my 72-year-old father fell ill with pneumonia, and on January 11, a doctor from the third city hospital was called to prescribe a course of treatment. For five days, in violation of the decree of the Government of the Russian Federation, no one came to my father to take a test for coronavirus. Five days later, my father was admitted by ambulance to the Veterans Hospital, where he was finally tested for covid and received a positive result. My father listed me and my mother as contact persons. On the advice of a doctor from the Veterans Hospital, I called the third city hospital to report this information. However, the call center operator of the Third City Hospital stated that they did not need this information. At the moment, my 70-year-old mother and I are sick with covid on the 10th day (I had a temperature of 39 degrees during all this time and, according to CT, 30% of my lungs were damaged). We called doctors home three times due to poor condition, and the first two times the doctor said that she could not help with the coronavirus test. The third doctor, based on the actual state of things, added me to the drug list. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. due to poor condition, and the first two times the doctor said that she could not help with the coronavirus test. The third doctor, based on the actual state of things, added me to the drug list. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. due to poor condition, and the first two times the doctor said that she could not help with the coronavirus test. The third doctor, based on the actual state of things, added me to the drug list. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. and the first two times the doctor said that she could not help with the coronavirus test. The third doctor, based on the actual state of things, added me to the drug list. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. and the first two times the doctor said that she could not help with the coronavirus test. The third doctor, based on the actual state of things, added me to the drug list. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. based on the real state of things, added me to the list for receiving medicines. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. based on the real state of things, added me to the list for receiving medicines. Every time a doctor is called, the operator of the Third City Hospital refuses to register us as covid patients, arguing that we were not tested. 65 years old, is a covid test mandatory and urgent? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. pointing out that we were not tested. I have a question: how long will my family be violated by the decree of the government of the Russian Federation, according to which people over 65 are required to take a test for covid on a mandatory and urgent basis? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage. pointing out that we were not tested. I have a question: how long will my family be violated by the decree of the government of the Russian Federation, according to which people over 65 are required to take a test for covid on a mandatory and urgent basis? Why didn't anyone come to us for 10 days? Such behavior of representatives of the health authorities, for some incomprehensible reason, in every possible way avoiding recognizing us as official covid patients, suggests thoughts of deliberate sabotage.","<p>10 января 2021 г. мой 72-летний отец заболел воспалением легких, 11 января был вызван врач из третьей городской больницы, назначивший курс лечения. В течение пяти дней в нарушение постановления Правительства РФ к отцу никто не приходил взять тест на коронавирус. Через пять дней отец был госпитализирован на скорой в госпиталь Ветеранов, где ему наконец-то сделали тест на ковид и получили положительный результат. &nbsp;Отец указал меня и мою маму как контактных лиц. По совету врача из госпиталя Ветеранов, я позвонил в третью городскую больницу, чтобы сообщить эту информацию. Однако оператор коллцентра Третьей городской больницы заявила, что им эта информация не нужна. На данный момент я и моя 70-летняя мама больны ковидом 10-й день (у меня в течение всего этого времени держалась температура 39 градусов и, по данным КТ, повреждены 30% легких). Мы трижды вызывали врачей на дом, в связи с плохим состоянием, и первые два раза врач говорила, что ничем не может помочь с тестом на коронавирус. Третья врач, исходя из реального состояния вещей, добавила меня в список на получение лекарств. &nbsp;Каждый раз при вызове врача, оператор Третьей городской больницы отказывается фиксировать нас как ковидных больных, упирая на то, что нам не был сделал тест.</p><p>У меня вопрос: до каких пор в отношении моей семьи будет нарушаться постановление правительства РФ, согласно которому у людей старше 65 лет в обязательном и срочном порядке берется тест на ковид? Почему в течение 10 дней к нам никто не пришел? Такое поведение представителей &nbsp;органов здравохранения, по какой-то непонятной причине всячески избегающих признания нас официальными ковидными больными, наводит на мысли о намеренном саботаже.</p>",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Another
327,"Good afternoon! I appeal to Roman Vladimirovich Storovoit, help us pay attention to us! There are no roads in our village. After the snow melted, the bridge that led us to the tseveleza was washed away. After the appeal of local residents to television, this pit was covered with earth for us, but this did not last long. When it rains, the ambulance will not reach us at all. Recently, the teacher broke her leg, the ambulance did not pass because there was a lot of mud, they asked the neighbor to take the patient out and then pull the ambulance out of the mud in his car. We turned to Azarov Vitaly Yuryevich, we got one answer - no money, you lived in this mud and live on. We all understand there is no money, etc., but we can at least fill these bridges with slag, we don’t need asphalt, we need access to us because elderly people live here and they need medical help, etc.",<p>Добрый день! Обращаюсь к Сторовойту Роману Владимировичу &nbsp;помогите нам обратите на нас внимание! У нас в деревне нет дорог. После схода снега у нас размыло мост который нас вел к цевелезации. После обращение месных жителей на телевидение нам эту яму засыпали землей это не надолго . Когда идут дожди к нам не проехать скорая вовсе до нас не доедет. Недавно учитель сломала ногу скорая не проехала так как была сильная грязь просили соседа он вывозил больного а потом и скорую вытаскивал из грязи на своей машине. Обращались мы к Азарову Виталию Юрьевичу нам один ответ нет денег жили вы в этой грязи так и живите датьше. Мы все понимаем нет денег и т.д но можно же хотя бы засыпать эти мосты шлаком не нужен нам асфальт нам нужен к нам проезд потому как у нас живут пожилые люди и им нужна помощь медицинская и .т.д&nbsp;</p>,Отсутствие твёрдого дорожного покрытия на дорогах в границах городских округов и сельских поселений,Администрация Золотухинского района,0,Another
