id,Message text,Текст Сообщения,Тематика,Ответственное лицо,Категория,Subject
1969,"PATP stop in the direction of Puchkovka - the stop is not equipped, trucks stop at it.","Остановка ПАТП в сторону Пучковки - остановка не оборудована, на ней останавливаются фуры.",Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Курска,8,Violation of the rules for embarkation and disembarkation of passengers in the implementation of municipal (suburban) transportation
420,Good afternoon. I reported a problem with power surges. Case number: 74558. More than two weeks have passed. Please tell me if there will be a solution to the problem or not. Thank you,"<p>Добрый день.Я сообщал о проблеме со скачками напряжения.Номер обращения <span style=`background-color:rgb(255,255,255);color:rgb(126,136,147);`>№:</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`>&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>74558.Прошло больше двух недель. Скажите пожалуйста будет решение проблемы или нет.Спасибо</strong></span></p>","Нарушения, связанные с содержанием электросети и качеством энергоснабжения в районе частного сектора",Государственная жилищная инспекция Курской области,3,Violations related to the maintenance of the power grid and the quality of power supply in the area of ​​the private sector
1820,"There is no sidewalk along house 41 from entrance 2 to entrance 3. Exit directly to the roadway, cars park where there should be a sidewalk, but there is none. Currently, the road and pedestrian sidewalks are being improved along the house at entrances 1, 3,4,5,6. Entrance number 2 for some reason excluded from the beautification program. Although in the neighboring house - the same corner, along Zopolnaya 41A, the same corner entrance has a normal exit from the entrance to the sidewalk and all the entrances are connected by a common sidewalk from 1 to 6. It should be the same in the House of Zapolnaya 41! The exit from entrance 2 along Zopolnaya 41 should be on the sidewalk, both towards entrance No. 1 and towards entrance No. 3 and organized in such a way that residents of the entrance can easily walk or with a stroller, or in a stroller along the house along the pedestrian zone in the direction to entrances 3, 4, 5, 6. And not only to entrance 1 as it is now. Currently, all residents of entrance No. 2, leaving it, end up in closely parked cars. And the attempted improvement led to an aggravation of the problem and now it became impossible to pass along the house, especially with a stroller. We urgently need to decide something, while the road workers lay gravel and start asphalting. It is necessary to make an exit from entrance No. 2, as it is prescribed in the urban planning code - to the sidewalk, and not to the road = parking.","<p>Отсутсвует тротуар вдоль дома 41 из подъезда 2 к подъезду 3. &nbsp;Выход прямо на проезжую часть, машины паркуются там, где должен быть тротуар, но его нет. В настоящее время идет благоустройство дороги и пешеходных тротуаров в доль дома у подъездов 1, 3,4,5,6. Подъезд №2 почему-то исключен из программы благоустройста. &nbsp;Хотя в соседнем доме - таком же угловом, по Запольной 41А, у такого же углового подъезда имеется нормальный выход из подъезда на тротуар и все подъезды соединены общим тротуаром с 1 по 6. Так же должно быть и в Доме Запольная 41! Выход из подъезда 2 по Запольной 41 должен быть на тротуар, причем и в сторону подъезда №1 и в сторону подъезда №3 и организован таким образом, чтобы жители подъезда беспрепятственно проходили пешком или с коляской, или на коляске вдоль дома по пешеходной зоне по направлению к подъездам 3, 4, 5, 6. А не только к подъезду 1 как сейчас. В настоящее время все жители подъезда №2 выйдя из него попадают в тесно стоящие припаркованные машины. &nbsp;А предпринятая попытка благоустройства привела к усугублению проблемы и теперь вдоль дома проход стал невозможен, особенно с коляской. Срочно надо что-то решать, пока дорожники кладут гравий и не начали асфальтирование. Нужно сделать выход из подъезда №2, как это прописано в градостроительном кодексе - на тротуар, а не на дорогу=парковку.</p>",Необходимо строительство тротуара,ООО `УК Курска`,3,Pavement needs to be built
475,"Good afternoon, in the courtyard in front of the entrances there is a hatch covered not with an iron lid, but with some kind of concrete “lid” that is not suitable for it in size, which is all staggering at any touch to it, we have a lot of small children both in our house and in neighboring houses, please take action and close this hatch as it should be!","<p>Добрый день во дворе перед подъездов стоит люк прикрытый не железной крышкой, а какой то бетонной не подходящей для него по размеру “крышкой” которая вся шатается при любом прикосновении к ней, у нас очень много маленьких деток и в нашем доме и в соседних домах, пожалуйста примите меры и закройте этот люк, как должно быть!&nbsp;</p>",Отсутствие люков на коммуникационных колодцах,Администрация города Курска,3,Lack of hatches on communication wells
2479,"in an apartment building on the street. Shkolny per., 10 no yard lighting","в многоквартирном доме по ул. пер.Школьный, д.10 нет дворового освещения",Неработающее наружное освещение,Администрация Горшеченского района,3,Non-working outdoor lighting
956,"Good afternoon! In an apartment building at the address: Kursk, st. Vatutina, 20, for two months now there has been no hot water supply due to the repair of the networks of PJSC ""Quadra - Power Generation"". After the resumption of this service on September 6, cloudy cold water with an unpleasant odor flows from the hot water tap, the water pressure is weak, the heated towel rail in the bathroom is cold. The management company of Kursk in this situation refers to the insufficient pressure of the water supply of PJSC ""Quadra - Power Generation"". Please help me to solve this problem.","<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>Добрый день! В&nbsp;многоквартирном жилом доме по&nbsp;адресу: г. </span><span style=`color:rgb(102,102,102);`>Курск</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>, ул. Ватутина, д.20, уже два месяца отсутствует горячее водоснабжению в&nbsp;связи с&nbsp;ремонтом сетей </span><span style=`color:rgb(102,102,102);`>ПАО «Квадра»</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. После возобновления </span><span style=`color:rgb(102,102,102);`>6&nbsp;сентября</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> данной услуги из&nbsp;крана горячей воды течёт мутная холодная вода с&nbsp;неприятным запахом, напор воды слабый, полотенцесушитель в&nbsp;ванной комнате холодный. </span><span style=`color:rgb(102,102,102);`>УК</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`> </span><span style=`color:rgb(102,102,102);`>Курск</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>а&nbsp;в&nbsp;данной ситуации ссылается на&nbsp;недостаточное давление подачи воды </span><span style=`color:rgb(102,102,102);`>ПАО «Квадра»</span><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>. Прошу оказать содействие в&nbsp;решении указанной проблемы.</span></p>",Некачественное водоснабжение многоквартирного дома,Государственная жилищная инспекция Курской области,3,Poor water supply in an apartment building
1418,The territory adjacent to the house is not cleared of snow.,<p>Прилегающая к дому территория не очищена от снега.</p>,Несвоевременная очистка дворовой территории многоквартирных домов от наледи и снега,Ответственный ПМИ,3,Untimely cleaning of the yard area of ​​apartment buildings from ice and snow
114,"I ask you to involve the Moscow Scientific Research Institute of Motor Transport, to solve the problem of motor transport in the city of Lgov. Recently, in social networks began to discuss that private carriers do not comply with the bus schedule, in this regard, I ask you to involve specialists so that they develop a new public transport scheme and timetable. I also ask you to give instructions to work out the scheme for the movement of road transport on the street. Railway, this part of the city is still without a bus. I also ask you to work on the issue of bus branding and the purchase of large-capacity buses. Let's participate in the project ""NATIONAL PROJECTS OF RUSSIA"" maybe they will help us in purchasing large-capacity buses for the city. Let's move a little.","<p>Прошу Вас привлечь московский НИИ автомобильного транспорта, для решения проблемы автотранспорта г. Льгов. В последнее время в соц. сетях начали обсуждать что частные перевозчики не соблюдают график движения автобусов, в связи с этим прошу привлечь специалистов что бы они разработали новую схему движения общественного транспорта и расписание движения. Также прошу дать поручения проработать схему движения автомобильного транспорта на ул. Железнодорожная, эта часть города все по прежде у остаются без автобуса. &nbsp;Также прошу проработать вопрос насчёт брендирования автобусов и приобретению автобусов большой вместимости. Давайте участвовать в проекте “НАЦИОНАЛЬНЫЕ ПРОЕКТЫ РОССИИ” &nbsp;может они нам помогут в приобретении автобусов большой вместимости для города. На давайте хоть как то шевелится.&nbsp;</p>",Неудобный график движения при осуществлении муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8,Inconvenient traffic schedule for municipal (suburban) transportation
39,"I ask you to put on the route Lgov (AS) -Sakh.zavod not a GAZelle but a PAZik. You tried to leave in the morning, but I tried and nothing came of it, there are not enough seats in the minibus. IP Tatarenko has bus number M 168 AS 46, bus number M 351 UK 46 which I have never seen on any routes. I ask you to put one of them on this route. Also kill the request not to change the carrier on this route, because. he makes us all obsolete, only here is the only request to put PAZIK on the route.","<p>Прошу Вас поставить на маршрут Льгов (АС)-Сах.завод не ГАЗельку а ПАЗик. Вы утром пробовали уехать, а я пробовал и у меня ничего не вышло, в маршрутке мало мест. У ИП Татаренко есть автобус № М 168 АС 46, автобус № М 351 УК 46 котрый я никогда не видел ни на каких маршрутах. Прошу один из них поставить на этот маршрут. Также уб.просьба не менять перевозчика по данному маршруту, т.к. он нас всем устаривает, только вот единственная просьба поставить на маршрут ПАЗИК.</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении  муниципальных (пригородных) перевозок,Администрация города Льгов,8,Unsatisfactory sanitary condition of transport in the implementation of municipal (suburban) transportation
775,"I have a child Zvyagintsev Dmitry Evgenievich, born on 07/04/2018, for whom I receive child benefits on the map of the world. The bailiff wrote off the money intended for the child to pay off my debt.","<p>У меня имеется ребенок Звягинцев Дмитрий Евгеньевич 04.07.2018 г.р., на которого я получаю детские пособия на карту мир. Судебный пристав списал в счёт погашения моей задолженности денежные средства, предназначенные ребенку.&nbsp;</p>",Нарушения в вопросах назначения и выплат пособий и компенсаций,"Комитет социального обеспечения, материнства и детства Курской области",10,Violations in the appointment and payment of benefits and compensations
1987,A pile of rubbish at the intersection of 16 Chernyakhovsky St. and 1st Krasnopolyansky Lane. No one has been cleaning up for a month now and no one cares. Take action.,Груда мусора на пересечении ул.Черняховского 16 и 1-го Краснополянского переулка.Уже как месяц никто не убирает и никому нет дела.Примити меры.,Несанкционированные свалки твёрдых бытовых отходов,Администрация города Курска,16,Unauthorized solid waste dumps
215,"trading and begging in the overpass between the GRINN shopping center and the Olympiysky shopping center, especially on weekends, for the second year already, the DH Administration has not done anything to eliminate this disgrace 100 from the DH Administration",<p>торговля и попрошайничество &nbsp; в надземном переходе между ТЦ ГРИНН и ТЦ Олимпийский особенно в выходные дни &nbsp;уже второй год Администрация ЦО ни чего не делает что бы устранить это безобразия &nbsp; 100 от Администрации ЦО &nbsp; &nbsp;</p>,Несанкционированная торговля,Администрация города Курска,13,Unauthorized trade
769,The tile pavement is crumbling and needs to be restored.,"<p>Тротуар из плитки разрушается, необходимо восстановить.</p>",Ямы и выбоины на тротуарах,Комитет дорожного хозяйства города Курска,3,Pits and potholes in the sidewalks
63,"I ask you to install a road sign, namely the name of the street “Frunze street”, many people get confused and go the wrong way.","<p>Прошу Вас установить дорожный знак, а именно название улицы “ул.Фрунзе` многие люди путаются и едут не туда.</p>",Дорожные знаки на дорогах в микрорайонах ИЖС,Комитет транспорта и автомобильных дорог Курской области,0,Road signs on roads in IZHS microdistricts
36,"Liteynaya Street has not been cleared of snow, and the roadside on this road has not been cleared, I am already silent about spilling. I ask you to clean the road on Liteynaya St., on I.Franko St. and on Glinka, Chernyshevsky St. and sprinkle it with sand. Also, please kindly send a photo report.","<p>Ул.Литейная не очищена от снега, также не почищена обочина на данной дороге я уже молчу про просыпку. Прошу Вас почистить дорогу на ул.Литейной, на ул.И.Франко и на ул.Глинко, Чернышевского и &nbsp;посыпать песком. Также будте добры прислать фотоотчет.</p>",Очистка от снега и наледи дорог регионального и межмуниципального значения,Администрация города Льгов,0,Clearing snow and ice from roads of regional and intermunicipal significance
1960,Good afternoon. I ask you to inform the deadlines for commissioning the lighting of the Fatezh Dmitriev highway in the village of Verkhnee Zhdanovo. The deadline indicated in the passport of the object is 12.2020. Please indicate the date of commissioning?,День добрый. Прошу сообщить сроки ввода в эксплуатацию освещения автодогори Фатеж Дмитриев в населенном пункте Верхнее Жданово. Срок указанный в паспорте объекта 12.2020. Прошу указать дату ввода в эксплуатацию?,Освещение дорог регионального и межмуниципального значения,Комитет транспорта и автомобильных дорог Курской области,0,Illumination of roads of regional and intermunicipal significance
1523,There is no lighting in the courtyard of the house at 17 Druzhby Avenue,<p>Во дворе дома по проспекту Дружбы дом 17 нет освещения&nbsp;</p>,Неработающее наружное освещение,Комитет жилищно-коммунального хозяйства города Курска,3,Non-working outdoor lighting
54,"I ask you to fix the malfunction of the lighting on Liteynaya street. The lighting is on 5 pillars, which is very small for such a long street. I ask you to install lighting at least through a reinforced concrete support.","<p>Прошу Вас устранить неисправность &nbsp;освещение на ул.Литейной. Освещение горит на 5 опорах, для такой протяженной улицы это очень мало. Прошу Вас установить освещение хотя бы через ж/б опору.</p>",Неработающее наружное освещение,Администрация города Льгов,3,Non-working outdoor lighting
1021,"Hello. Our address is Kursk, Seregina street 30, entrance No. 2. We don't have a single lantern in our yard.","<p>Здравствуйте. Наш адрес г. Курск, ул Серёгина 30, подъезд №2. У нас во дворе дома Нет не одного фонаря.&nbsp;</p>",Неработающее наружное освещение,Комитет городского хозяйства города Курска,3,Non-working outdoor lighting
2181,Along the road on the sidewalk sand. Walking is impossible.,Вдоль дороги на тротуаре песок.  Ходить невозможно.,Неудовлетворительная уборка улиц и тротуаров,Администрация города Курска,3,Poor cleaning of streets and sidewalks
1834,"Why is there a second entrance along V. Klykov Avenue, house 39, is it cold in the apartments?! Why do I pay for heating and still have to pay for electricity because I have to turn on the heater?! The pipes are barely warm!","Почему по проспекту В.Клыкова дом 39 второй подъезд, холодно в квартирах?! Почему я плачу за отопление и ещё должна платить за электричество так как приходится включать обогреватель?! Трубы еле тёплые!",Нарушение теплоснабжения многоквартирного дома,Государственная жилищная инспекция Курской области,3,Violation of the heat supply of an apartment building
2834,American butterfly caterpillar,Гусеница американской бабочки,Порча земель,Комитет городского хозяйства города Курска,16,Land corruption
609,"Downtown, embarrassing. It is impossible to walk. Please take action.","<p>Центр города, стыдно.&nbsp;</p><p>Ходить невозможно.</p><p>Прошу принять меры.</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Pedestrian crossings on roads within the boundaries of urban districts and rural settlements
1366,"On the 9th Suvorov lane, the snow was removed, but the snow was cleared away and the heaps on the side of the road were left lying so that pedestrians had nowhere to walk! People have to walk along the road with cars very close, risking their lives during the ice! Why cars and snow were removed and no one thinks about pedestrians? The only sidewalk in front of the beer store is also littered with snow, which was raked around star 11. Remove the snow from so that people have somewhere to walk!","<p>На 9 Суворовскои переулке убрали снег, но снег расчистили а кучи по обочине остались лежать так, что пешеходам негде ходить! Людям приходится идти по дороге с машинами очень близко рискуя жизнью во время гололеда! Почему машинаи снег убрали а про пешеходов никто не думает? Единственный тротуар напротив магазина с пивом тоже завален снегом, который сгребли вокруг звёздной 11. Уберите снег с чтобы людям было где ходить!&nbsp;</p>",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Clearing snow and ice from roads within the boundaries of urban districts and rural settlements
2939,Attention sign closes give way sign. And traffic lanes.,Знак внимание закрывает знак уступи дорогу.  И движение по полосам.,Дорожные знаки на дорогах в границах городских округов и сельских поселений,Комитет транспорта и автомобильных дорог Курской области,0,Road signs on roads within the boundaries of urban districts and rural settlements
1871,"Roman Vladimirovich, the local administration on Kim Street has not been able to remove the landfill for about six months now, why? And I'll tell you yes, because they need the right push in cleaning. Thank you, looking forward to a solution","Роман Владимирович, на улице Ким местная администрация не может убрать свалку уже около полугода, почему? А я вам скажу да потому что им нужен правильный толчок в уборке. Спасибо ждём решения вопроса",Несанкционированные свалки твёрдых бытовых отходов,Администрация города Льгов,16,Unauthorized solid waste dumps
2161,Good afternoon. Please provide the number and date of the normative act that establishes a limit on the hours that a child can have in additional education. Reported 144 hours that a child can visit for free with the application on the navigator46,"Добрый день. Прошу сообщить номер и дату  нормативного  акта, который устанавливает ограничение по часам, которые может иметь ребёнок в дополнительном образовании.
Сообщается о 144 часах, которые ребёнок может посещать бесплатно с подачей заявки на навигаторе46",Неудовлетворительное качество работы преподавателей и другого персонала учреждения дополнительного образования,Комитет образования и науки Курской области,7,Unsatisfactory quality of work of teachers and other staff of the institution of additional education
1803,"In the area of ​​​​the turn from the main road into the courtyard of the house on the street. Sumy, 7 there is a huge tree, part of which hangs over the roadway and tram tracks, creating a risk of wire breakage, as well as branches falling on cars. I ask you to consider the issue of filing emergency parts.","<p>В районе поворота с основной дороги во двор дома по ул. Сумская, 7 расположено огромное дерево, часть которого свисает над проезжей частью и трамвайными путями, создавая риск обрыва проводов, а также падения ветвей на автомобили. Прошу рассмотреть вопрос об опиловке аварийных частей.</p>",Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
1143,"From November 6 to November 7, there was an unpleasant smell from the Mushroom Rainbow (short-term)",<p>В период с 6 по 7 ноября появлялся неприятный запах от Грибной радуги (кратковременно)</p>,Неприятные запахи,Комитет природных ресурсов Курской области,16,Unpleasant odors
2245,"Incorrect operation of the countdown system of a traffic light object, both a transport and a pedestrian traffic light.","Неправильная работа системы обратного отсчёта светофорного объекта, как транспортного, так и пешеходного светофора.",Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Traffic lights on the roads within the boundaries of urban districts and rural settlements
1604,Maintenance and cleaning of the local area,<p>Содержание и уборка придомовой территории</p>,Неудовлетворительная уборка и освещение мест общего пользования в многоквартирном доме,ООО `УК `Северный дом`,3,Insufficient cleaning and lighting of common areas in an apartment building
1868,Poor pressure of cold water in the apartment.,Плохой напор холодной воды в квартире.,Некачественное водоснабжение многоквартирного дома,Государственная жилищная инспекция Курской области,3,Poor water supply in an apartment building
1936,"Dear responsible people, there are such large pits in the yards of homebuilders that you can just go crazy, the dispatcher called a clear answer, no one gave a clear answer, we ask you to involve the plant to eliminate the pits, even with the same concrete. We are waiting for a solution to the problem. Namely, the pits are located from the exit of the main road towards the village of spark. The pits are located near house 1 along Deriglazov Avenue","Уваженные ответственные люди, во дворах домостроителей такие большие ямы, что просто афигеть можно, диспетчерскую звонили внятного ответа не кто не дал, просим привлечь завод устранить ямы, пускай тем же бетоном. Ждём решения проблемы. А именно ямы расположены со съезда главной дороги в сторону п.искра. Ямы расположены около дома 1 по проспекту Дериглазова",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
1795,"Good afternoon. Please adjust the traffic lights at the intersection of Dzerzhinsky and Verkhnyaya Lugovaya and Dzerzhinsky and A. Nevsky streets. With a green traffic light (approximately 20 more seconds), it is impossible to pass the traffic light.",<p>Добрый день. &nbsp; Просьба отрегулировать светофоры на перекрестке улиц Дзержинского и Верхняя Луговая и Дзержинского и А.Невского. При зеленом светофоре (еще примерно 20 секунд) проехать светофор невозможно.</p>,Светофоры на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Traffic lights on the roads within the boundaries of urban districts and rural settlements
866,"Good afternoon. Please pay attention to the condition of the road surface in South Lane. We have been living here for 8 years, during this time the road has never been repaired.","<p>Добрый день. Обратите, пожалуйста, внимание на состояние дорожного покрытия в Южном переулке. Живём здесь уже 8 лет, за это время дорога ни разу не ремонтировалась.</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0,Violation of the road surface (pits) on the roads within the boundaries of urban districts and rural settlements
2773,"Hello. OBUZ `Zheleznogorsk city hospital` at Zheleznogorsk, st. Kurskaya, d.76 does not issue prescriptions for subsidized medicines. On August 16, I phoned 68 times to apply for a prescription, it was accepted. A few days later I turned to the reception for a prescription, but it was not there, and so from 16.08 to the present, I go to them, but there is still no prescription, they don’t answer questions why there is no prescription and who to contact about this is also answered no. Can you tell me where to go? After 2 weeks, I already need to write out the next prescription, but I won’t get all the previous one.","Здравствуйте. ОБУЗ `Железногорская городская больница` по адресу г. Железногорск,  ул. Курская, д.76 не выписывает рецепты на льготные лекарства. 16 августа я с 68 раза дозвонилась, чтобы сделать заявку на рецепт, её приняли. Через несколько дней я обратилась в регистратуру за рецептом, но его не оказалось и так с 16.08 по настоящее время, я хожу к ним, но до сих пор рецепта нет, на вопросы почему нет рецепта не отвечают и к кому обратиться по этому поводу тоже ответа нет. Может вы подскажите куда обратиться? Через 2 недели мне уже нужно выписывать следующий рецепт, а я все предыдущий не получу.",Нарушения связанные с обеспечением лекарственными средствами,Комитет здравоохранения Курской области,4,Violations related to the provision of medicines
997,"At the address: Kursk, Yuzhny Lane, opposite house No. 15, work was carried out in the sewer well related to water disposal. The sewer well is located in the middle of the public road. In connection with the work carried out in the sewer well, the upper part of the said well was destroyed, as well as the asphalt pavement of the public road adjacent to the well. The movement of motor transport along Yuzhny Lane is limited, and is also carried out with a violation of road safety associated with a threat to the lives of both pedestrians and persons driving vehicles. I ask you to take measures to eliminate the above damage.","<p>По адресу: г.Курск, Южный переулок, напротив дома №15 в канализационном колодце проводились работы, связанные с водоотведением. Канализационный колодец находится посередине автомобильной дороги общего пользования. В связи с проводившимися в канализационном колодце работами, произошло разрушение верхней части указанного колодца, а также асфальтового покрытия автомобильной дороги общего пользования, примыкающей к колодцу. Движение автомобильного транспорта по Южному переулку ограничено, а также осуществляется с нарушением безопасности дорожного движения, связанного с угрозой жизни как пешеходов, так и лиц, управляющими автотранспортными средствами. Прошу принять меры для устранения вышеуказанных разрушений.</p>",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3,Untimely restoration of disturbed landscaping after repair work
1576,Can't get certificate,<p>Не могу получить сертификат</p>,Тестовая категория,Ответственный ПМИ,12,Test category
84,"I ask you to clear the fallen trees from the landing located near the house 22 on the 2nd lane of Frunze. You have finally cleaned out this paddock, defeat the poplars, parents with children are walking there, the child can get hurt on a splinter. Let's collect a subbotnik and clean up the paddock together.","<p>Прошу Вас очистить от поваленных деревьев пасадку расположенную возле дома 22 по 2-у переулку Фрунзе. Вычистить вы уже наконец-то эту пасадку, победите тополя, там гуляют родители с детьми, ребёнок может поранится об осколок. Давайте соберём субботник и вычистим пасадку вместе.&nbsp;</p>",Несанкционированная вырубка зелёных насаждений в лесопарковых зонах,Администрация города Льгов,16,Unauthorized felling of green spaces in forest park areas
2693,"Hello, please clarify / give a link to the law, which states that according to the vaccine calendar, children from birth are given 2 vaccinations with the Pentaxim vaccine for free in the clinic, and the 3rd is given DTP. (Everyone knows that children are more difficult to tolerate it) The question is: why The 3rd free vaccine is DTP and why, if I don’t want to give it to my child, should I buy the vaccine myself?","Здравствуйте, прошу разъяснить /дать ссылку на закон, в котором указано ,что детям по календарю вакцин с рождения ставят  бесплатно в поликлинике 2 прививки вакциной пентаксим , а 3ю ставят АКДС .( всем известно, что её тяжелее переносят дети )  Вопрос в следующем: почему 3я бесплатная прививка именно АКДС и почему, если не хочу её ставить своему ребёнку, я должна купить сама вакцину ?",Неудовлетворительное качество оказания медицинской помощи,Комитет здравоохранения Курской области,4,Unsatisfactory quality of medical care
801,"Good afternoon! On the street. Belinsky, near house number 8, a part of a tree broke off and fell across the sidewalk onto the fence, which leaned towards the sidewalk. Given the above, the passage of pedestrians under a tree creates a danger to life and health. Please take appropriate action.","<p>Добрый день!</p><p>По ул. Белинского, около дома № 8, обломилась часть дерева и упала через тротуар на забор, который наклонился в сторону тротуара. Учитывая изложенное, проход пешеходов под деревом &nbsp;и создает опасность для жизни и здоровья. Прошу принять соответствующие меры. &nbsp;</p>",Аварийные деревья,Комитет городского хозяйства города Курска,3,emergency trees
2117,The storm sewer is clogged and the grate is missing. Please install it because you can break the legs of children and their parents nearby is the orphanage of arts Rhythm. ￼￼,"Забита ливневая канализация и отсутствует решетка.  
Просьба её установить потому что можно поломать ноги детям так и их родителям рядом находится детский дом искусств Ритм. ￼￼",Ливневая канализация,Администрация города Курска,3,Storm sewer
2610,"Overgrown grass at the crossroads, visibility is limited","Заросла трава на перекрёстке, обзор ограничен",Неудовлетворительное содержание клумб и газонов,Комитет дорожного хозяйства города Курска,3,Unsatisfactory maintenance of flower beds and lawns
361,"Hello! We have a wonderful railroad park in Kursk, but apart from monuments there is nothing there, I would like to see sports simulators and a playground in this park. On one side of the park there are exercise equipment and on the other side of the park there is a playground.","<p>Здравствуйте!&nbsp;</p><p>У нас в г. Курск есть замечательный парк железнодорожников, но кроме памятников там ничего нет, хотелось что бы в данном парке появились спортивные тренажёры и детская площадка. &nbsp;С одной стороны парка спортивные тренажёры в с другой стороны парка детская площадка.&nbsp;</p>",Плохое материально-техническое оснащение учреждений физической культуры и спорта,Администрация города Курска,15,Poor material and technical equipment of institutions of physical culture and sports
892,QR code not received after vaccination,<p>Не пришёл QR код после вакцинации</p>,Сертификат вакцинированного,Комитет здравоохранения Курской области,4,Certificate of the vaccinated
2977,"Good evening! Help deal with the problem of garbage disposal from the container site at: Kursk, st. Gagarina, d. 14. COMPLETE UNSANITATION!!!","Добрый вечер! Помогите разобраться с проблемой вывоза мусора с контейнерной площадки по адресу: Курск, ул. Гагарина, д. 14. АНТИСАНИТАРИЯ ПОЛНЕЙШАЯ!!!",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Комитет городского хозяйства города Курска,3,Collection and removal of municipal solid waste in areas of apartment buildings that do not meet established standards
10,"Hello. From November 30, 2020 to the present time, i.e. 12/15/2020, there is no water on Sosnovaya street, house 2. The nearest column where you can draw water is 3 km from the house. I repeatedly contacted by phone and in writing: to the Kurskoblvodokanal (no answer), to the administration of the Shchigrovsky district, on December 14, 2020, a response was received that in September 2020 a new motor was installed at the well, a new automatic system has been installed, etc. This is a fiction and replies. When will the water supply be restored?","<p><strong>Здравствуйте. &nbsp;С 30 ноября 2020 года по наятоящее время, т.е. 15.12.2020, &nbsp;по улице Сосновая дом 2 &nbsp;отсутствует вода. &nbsp;Ближайшая колонка, где можно набрать воды в 3 км от дома.</strong></p><p><strong>Неоднократно по телефону и письменно я обрщалась: в Курскоблводоканал (ответа нет), &nbsp;в администрацию Щигровского района, 14.12.20 получен ответ, что в сентябре 2020 года поставлен новый мотор на скважину, &nbsp;установлена навая автоматическая система и т.д &nbsp;Это &nbsp;фикция и отписки. &nbsp; &nbsp; &nbsp;Когда восстановят &nbsp;водоснабжение.</strong></p>",Некачественное водоснабжение в районе частного сектора,Администрация Щигровского района,3,Poor water supply in the private sector
